Partlist

Exported from BSC_mini.brd at 9/12/18 2:52 PM

EAGLE Version 7.7.0 Copyright (c) 1988-2016 CadSoft

Assembly variant: 

Part     Value                  Package                          Library             Position (mm)         Orientation

T1902    DMG3420U               S_SOT23                          be_transistor       (20 36)               R90
T2101    DMG3420U               S_SOT23                          be_transistor       (263 96)              R270
T2102    DMG3420U               S_SOT23                          be_transistor       (263 26)              R270
T2103    DMG3420U               S_SOT23                          be_transistor       (263 101)             R270
T2104    DMG3420U               S_SOT23                          be_transistor       (263 31)              R270
T2105    DMG3420U               S_SOT23                          be_transistor       (263 111)             R270
T2106    DMG3420U               S_SOT23                          be_transistor       (263 41)              R270
T2107    NX2301P                S_SOT23                          be_transistor       (263 116)             R270
T2108    NX2301P                S_SOT23                          be_transistor       (263 46)              R270
T2109    DMG3420U               S_SOT23                          be_transistor       (263 106)             R270
T2110    DMG3420U               S_SOT23                          be_transistor       (263 36)              R270
T2111    DMG3420U               S_SOT23                          be_transistor       (157 86)              R270
T2112    DMG3420U               S_SOT23                          be_transistor       (157 81)              R270
T2201    DMG3420U               S_SOT23                          be_transistor       (263 121)             R270
T2202    DMG3420U               S_SOT23                          be_transistor       (263 51)              R270
T2203    DMG3420U               S_SOT23                          be_transistor       (263 126)             R270
T2204    DMG3420U               S_SOT23                          be_transistor       (263 56)              R270
T2205    DMG3420U               S_SOT23                          be_transistor       (263 131)             R270
T2206    DMG3420U               S_SOT23                          be_transistor       (263 61)              R270
T2207    DMG3420U               S_SOT23                          be_transistor       (263 136)             R270
T2208    DMG3420U               S_SOT23                          be_transistor       (263 66)              R270
T2301    NX2301P                S_SOT23                          be_transistor       (230 93)              R270
T2302    NX2301P                S_SOT23                          be_transistor       (230 98)              R270
T2303    NX2301P                S_SOT23                          be_transistor       (230 103)             R270
T2304    NX2301P                S_SOT23                          be_transistor       (235 93)              R270
T2305    NX2301P                S_SOT23                          be_transistor       (235 98)              R270
T2306    NX2301P                S_SOT23                          be_transistor       (235 103)             R270
T2307    DMG3420U               S_SOT23                          be_transistor       (263 85)              R270
T2308    DMG3420U               S_SOT23                          be_transistor       (263 90)              R270
T2401    NX2301P                S_SOT23                          be_transistor       (236 26)              R270
T2402    NX2301P                S_SOT23                          be_transistor       (236 31)              R270
T2403    NX2301P                S_SOT23                          be_transistor       (236 36)              R270
T2404    NX2301P                S_SOT23                          be_transistor       (241 26)              R270
T2405    NX2301P                S_SOT23                          be_transistor       (241 31)              R270
T2406    NX2301P                S_SOT23                          be_transistor       (241 36)              R270
T2407    DMG3420U               S_SOT23                          be_transistor       (263 14)              R270
T2408    DMG3420U               S_SOT23                          be_transistor       (263 19)              R270
TP201                           T_TEST_POINT_SMALL               be_con_jump         (227.8 17.2)          R0
TP202    +1V2                   T_TEST_POINT_SMALL               be_con_jump         (88 17.2)             R0
TP203    +2V5                   T_TEST_POINT_SMALL               be_con_jump         (72 17.4)             R0
TP204                           T_TEST_POINT_SMALL               be_con_jump         (180.4 17.4)          R0
TP205    +2V5                   T_TEST_POINT_SMALL               be_con_jump         (56 24.6)             R270
TP301                           T_TEST_POINT_SMALL               be_con_jump         (211.8 17.2)          R0
TP302                           T_TEST_POINT_SMALL               be_con_jump         (195.8 17.2)          R0
TP401    clk_slow               T_TEST_POINT_SMALL               be_con_jump         (219.2 112.6)         R0
TP601                           T_TEST_POINT_SMALL               be_con_jump         (73 99.8)             R0
TP602                           T_TEST_POINT_SMALL               be_con_jump         (73 96.2)             R0
TP603                           T_TEST_POINT_SMALL               be_con_jump         (73 98)               R0
TP1001                          T_TEST_POINT_SMALL               be_con_jump         (62.57 69.78)         MR0
TP1002                          T_TEST_POINT_SMALL               be_con_jump         (53.82 75.78)         MR0
TP1003                          T_TEST_POINT_SMALL               be_con_jump         (52.27 75.78)         MR0
TP1101                          T_TEST_POINT_SMALL               be_con_jump         (53.6 104.4)          R0
TP1401                          T_TEST_POINT_SMALL               be_con_jump         (234.2 69)            R90
TP1402                          T_TEST_POINT_SMALL               be_con_jump         (228 71)              R90
TP1403                          T_TEST_POINT_SMALL               be_con_jump         (234.2 65)            R90
TP1404                          T_TEST_POINT_SMALL               be_con_jump         (230 71)              R90
TP1405                          T_TEST_POINT_SMALL               be_con_jump         (223 68)              R90
TP1406                          T_TEST_POINT_SMALL               be_con_jump         (223 66)              R90
TP1701                          T_TEST_POINT_SMALL               be_con_jump         (187.8 90.8)          R0
TP1901                          T_TEST_POINT_SMALL               be_con_jump         (140 30)              R270
TP1902                          T_TEST_POINT_SMALL               be_con_jump         (140 28)              R270
TP1903                          T_TEST_POINT_SMALL               be_con_jump         (140 26)              R270
TP1904                          T_TEST_POINT_SMALL               be_con_jump         (140 24)              R270
TP2001   clk_slow               T_TEST_POINT_SMALL               be_con_jump         (32.8 48.2)           R0
X101                            T_WIRE_CLAMP_1X2_2.5MM           be_con_jump         (8 13.6)              R270
X102                            T_MALE_2X5_VERTICAL_GRID_2.54MM  be_con_jump         (18 134)              R0
X103     MALE_1X3               T_MALE_3X1_VERTICAL              be_con_jump         (4 30.4)              R180
X104                            T_MALE_2X13_VERTICAL_GRID_2.54MM be_con_jump         (295 101)             R90
X105     MALE_1X3               T_MALE_3X1_VERTICAL              be_con_jump         (296.2 127.8)         R180
X106                            T_MALE_2X13_VERTICAL_GRID_2.54MM be_con_jump         (295 49)              R90
X107     MALE_1X3               T_MALE_3X1_VERTICAL              be_con_jump         (296.2 24)            R180
X301     MALE_1X3               T_MALE_3X1_VERTICAL              be_con_jump         (135.4 12.2)          R90
X501                            T_MALE_2X5_VERTICAL_GRID_2.54MM  be_con_jump         (6 92)                R270
X502                            T_MALE_2X5_VERTICAL_GRID_2.54MM  be_con_jump         (19 92)               R270
X1201                           T_MALE_2X5_VERTICAL_GRID_2.54MM  be_con_jump         (6 115)               R270
X1202                           T_MALE_2X5_VERTICAL_GRID_2.54MM  be_con_jump         (19 115)              R270
X1701                           T_MALE_2X20_VERTICAL_GRID_2.54MM be_con_jump         (173 134)             R0
X1702                           T_MALE_2X20_VERTICAL_GRID_2.54MM be_con_jump         (67 134)              R0
